Song,Album,Lyric,Previous Lyric,Next Lyric,Multiplicity
No Use I Just Do,FLOWERS for VASES / descansos,"It's no use, I just love you","It's no use, I just love you, mmm","It's no use, I just love you, mmm",1
No Use I Just Do,FLOWERS for VASES / descansos,"It's no use, I just love you, mmm","It's no use, I just love you","It's no use, I just love you",1
No Use I Just Do,FLOWERS for VASES / descansos,"It's no use, I just love you","It's no use, I just love you, mmm","It's no use, I just love you",1
No Use I Just Do,FLOWERS for VASES / descansos,"It's no use, I just love you","It's no use, I just love you",Mmm,1
No Use I Just Do,FLOWERS for VASES / descansos,Mmm,"It's no use, I just love you","It's no use, I just love you",1
No Use I Just Do,FLOWERS for VASES / descansos,"It's no use, I just love you",Mmm,"It's no use, I just love you",1
No Use I Just Do,FLOWERS for VASES / descansos,"It's no use, I just love you","It's no use, I just love you",,1
Find Me Here,FLOWERS for VASES / descansos,No one can hold your hand,,Now through the delicate darkness you go,1
Find Me Here,FLOWERS for VASES / descansos,Now through the delicate darkness you go,No one can hold your hand,If I trespass even one step,1
Find Me Here,FLOWERS for VASES / descansos,If I trespass even one step,Now through the delicate darkness you go,"It all just disappears, clock starts over",1
Find Me Here,FLOWERS for VASES / descansos,"It all just disappears, clock starts over",If I trespass even one step,"As long as I am loving you, you'll never be alone",1
Find Me Here,FLOWERS for VASES / descansos,"As long as I am loving you, you'll never be alone","It all just disappears, clock starts over",As long as you keep wanting me around,1
Find Me Here,FLOWERS for VASES / descansos,As long as you keep wanting me around,"As long as I am loving you, you'll never be alone",But this is one trip you're gonna have to take alone,1
Find Me Here,FLOWERS for VASES / descansos,But this is one trip you're gonna have to take alone,As long as you keep wanting me around,"When you come back, you'll find me here where I belong",1
Find Me Here,FLOWERS for VASES / descansos,"When you come back, you'll find me here where I belong",But this is one trip you're gonna have to take alone,"Hmm, hmm",1
Find Me Here,FLOWERS for VASES / descansos,"Hmm, hmm","When you come back, you'll find me here where I belong","La, la, la, la, hmm, hmm",1
Find Me Here,FLOWERS for VASES / descansos,"La, la, la, la, hmm, hmm","Hmm, hmm","Soft like sand, sift through your hands",1
Find Me Here,FLOWERS for VASES / descansos,"Soft like sand, sift through your hands","La, la, la, la, hmm, hmm",Memories we both agree are not reality,1
Find Me Here,FLOWERS for VASES / descansos,Memories we both agree are not reality,"Soft like sand, sift through your hands","As long as you are loving me, I know I'm not alone",1
Find Me Here,FLOWERS for VASES / descansos,"As long as you are loving me, I know I'm not alone",Memories we both agree are not reality,Even if you're nowhere to be found,1
Find Me Here,FLOWERS for VASES / descansos,Even if you're nowhere to be found,"As long as you are loving me, I know I'm not alone",Sometimes life takes you back to places you run from,1
Find Me Here,FLOWERS for VASES / descansos,Sometimes life takes you back to places you run from,Even if you're nowhere to be found,I'll be right here if ever you come home,1
Find Me Here,FLOWERS for VASES / descansos,I'll be right here if ever you come home,Sometimes life takes you back to places you run from,,1
Just a Lover,FLOWERS for VASES / descansos,"Love is not a friend, it's not a brother",,Love is not a Wendy-Moira-mother,1
Just a Lover,FLOWERS for VASES / descansos,Love is not a Wendy-Moira-mother,"Love is not a friend, it's not a brother",Love has turned me into many others,1
Just a Lover,FLOWERS for VASES / descansos,Love has turned me into many others,Love is not a Wendy-Moira-mother,", now I guess I'm just",1
Just a Lover,FLOWERS for VASES / descansos,", now I guess I'm just",Love has turned me into many others,Just a lover,1
Just a Lover,FLOWERS for VASES / descansos,Just a lover,", now I guess I'm just",Once upon a time when we were school kids,1
Just a Lover,FLOWERS for VASES / descansos,Once upon a time when we were school kids,Just a lover,Mix CDs and carpool kids,1
Just a Lover,FLOWERS for VASES / descansos,Mix CDs and carpool kids,Once upon a time when we were school kids,No little cameras to witness,1
Just a Lover,FLOWERS for VASES / descansos,No little cameras to witness,Mix CDs and carpool kids,Really hope we don't wreck this,1
Just a Lover,FLOWERS for VASES / descansos,Really hope we don't wreck this,No little cameras to witness,When you're coming over,1
Just a Lover,FLOWERS for VASES / descansos,When you're coming over,Really hope we don't wreck this,Just a lover,1
Just a Lover,FLOWERS for VASES / descansos,Just a lover,When you're coming over,"Space and time, waking hours before I open my eyes",1
Just a Lover,FLOWERS for VASES / descansos,"Space and time, waking hours before I open my eyes",Just a lover,"In the morning, I feel my heart crack open, one last chorus",1
Just a Lover,FLOWERS for VASES / descansos,"In the morning, I feel my heart crack open, one last chorus","Space and time, waking hours before I open my eyes","Space and time, waking hours before I open my eyes",1
Just a Lover,FLOWERS for VASES / descansos,"Space and time, waking hours before I open my eyes","In the morning, I feel my heart crack open, one last chorus","In the morning, I feel my heart crack open, one last chorus",1
Just a Lover,FLOWERS for VASES / descansos,"In the morning, I feel my heart crack open, one last chorus","Space and time, waking hours before I open my eyes",I'll be singing into empty glasses,1
Just a Lover,FLOWERS for VASES / descansos,I'll be singing into empty glasses,"In the morning, I feel my heart crack open, one last chorus",No more music for the masses,1
Just a Lover,FLOWERS for VASES / descansos,No more music for the masses,I'll be singing into empty glasses,"One more hour, one more ugly, stillborn cry",1
Just a Lover,FLOWERS for VASES / descansos,"One more hour, one more ugly, stillborn cry",No more music for the masses,I know exactly what this is,1
Just a Lover,FLOWERS for VASES / descansos,I know exactly what this is,"One more hour, one more ugly, stillborn cry","Or whatever it was, or whatever it was",1
Just a Lover,FLOWERS for VASES / descansos,"Or whatever it was, or whatever it was",I know exactly what this is,,1
