Title,Album,Lyrics
Pure Love,Petals for Armor,"[Intro]
Huh

[Verse 1]
The opposite
The opposite of love is fear
I'm still trying to get (Hm)
Used to how the former feels
'Cause it feels so new
You think you know me
Wait 'til I open up to you

[Chorus]
If I want pure love
Must stop acting so tough
(I give a little, you give a little
We get a little sentimental)
If I want your love
Ooh, got to open up
(I give a little, you give a little
We get a little sentimental)

[Verse 2]
A deeper way
A deeper way to understand
To understand the line between
Who you are and who I am, baby
'Cause to let you in (I want your love, I want your love now)
Is true compromise (I want your love)
Not just the friction of our skin (I want your love now)

[Chorus]
If I want pure love
Must stop acting so tough
(I give a little, you give a little
We get a little sentimental)
If I want your love
Ooh, got to open up
(I give a little, you give a little
We get a little experimental
)

[Bridge]
I guess, I guess (I guess, I guess)
I could, I guess (I could, I guess)
Guess I oughta clean up these bloody fists if it's alright
And yes, I guess (And yes, I guess)
It's for the best (It's for the best)
Guess you really gotta call your own bluff if you want pure love
(If I want pure love)

[Chorus]
If I want pure love
Must stop acting so tough
(I give a little, you give a little
We get a little sentimental)
If I want your love
Ooh, got to open up
(I give a little, you give a little
We get a little sentimental)

[Outro]
If I want your love, ooh
(If I want your love)
(I want your love, I want your love
I want your love, I want your love now)
(I want your love, I want your love
I want your love, I want your love now)
(I give a little, you give a little
We get a little sentimental)
And if I want your love
(If I want your love)
(I want your love, I want your love
I want your love, I want your love now)
(I give a little, you give a little
We get a little sentimental)"
Taken,Petals for Armor,"In ""Taken,"" Hayley sends a message to everyone who's looking to date her saying she's unavailable as she's dating someone else.
[Verse 1]
My feet won't touch the ground beneath me
I'm flying but I'm not afraid to fall
I wear my pretty dress with big-ass sneakers
But we don't gotta go nowhere at all

[Chorus]
If anybody asks, yeah
I'm taken
If anybody wants to know
He is too
If anybody asks, yeah
I'm taken
If anybody wants to know
He is too

[Post-Chorus]
Ba-ba-ba-ba
Ba-ba, uh-uh
Uh-uh, uh-uh
Uh-uh-uh
Uh-uh, uh-uh
Uh-uh

[Verse 2]
It's easy to see how people stop believing
'Cause everyone I know's got a broken heart
And though I'm still picking up my pieces
He makes me wanna give it another shot

[Chorus]
If anybody asks, yeah
I'm taken
If anybody wants to know
He is too
If anybody asks, yeah
I'm taken
If anybody wants to know
He is too

[Post-Chorus]
Ba-ba-ba-ba
Ba-ba, uh-uh

[Bridge]
Would I do it all again?
Oh yeah, in a second
Might've taken thirty years
But I was always on my way to him

[Chorus]
If anybody asks, yeah
I'm taken
If anybody wants to know
He is too
If anybody asks, yeah
I'm taken
If anybody wants to know
He is too

[Outro]
(Ba-ba-ba-ba) I'm taken
(Ba-ba-ba-ba)
He is too
(Ba-ba-ba-ba-ba-ba) I'm taken
(Ba-ba-ba-ba)
He is too"
Sugar on the Rim,Petals for Armor,"[Intro]
Sugar on the rim
Sugar on the rim
Sugar on the rim
Sugar on the rim
Sugar on the rim
Sugar on the rim

[Verse 1]
Do you taste old shame when you lick my wounds?
'Cause I feel redeemed in spite of you
Had a life in hiding but a storm kept coming in
Could you be the silver lining like sugar on the rim?

[Pre-Chorus]
You took me by
You took me by
You took me by
Surprise
You took me by
You took me by
You took me by
Surprise

[Chorus]

Never felt this sensation
A kiss to every scar
Eclipse my expectation
Shock to my heart
Sugar on, sugar on
Sugar, sugar on the rim
On the rim

[Verse 2]
I love to play with our shadows
In and out of the glow
I'm not afraid of a dark side
Just tell me things I don't know
Maybe we just had to feel it
So we'd know the difference (Difference)
When we tell our gory story
With a sweetness on our lips

[Pre-Chorus]
You took me by
You took me by
You took me by
Surprise

[Chorus]

Never felt this sensation
A kiss to every scar
Eclipse my expectation
Shock to my heart (Sugar on the rim)
Never felt this sensation (Sensation)
Kiss to every scar (Scar)
Eclipse my expectation
Shock to my heart (Sugar on the rim)

[Bridge]
Sugar on the rim
Sugar on the rim
Sugar on the rim
Sugar on the rim
Sugar on the rim
Bitter if you walk away
Mmm, sweeter if you stay
Bitter if you ever walk away
'Cause it just gets sweeter by the day
Bitter if you walk away (Sugar on the rim)
Mmm, sweeter if you stay
Bitter if you ever walk away (Walk away)
'Cause it just gets sweeter by the day

[Chorus]

Never felt this sensation
A kiss to every scar
Eclipse my expectation
Shock to my heart (Sugar on the rim)
Never felt this sensation (Sensation)
Kiss to every scar (Scar)
Eclipse my expectation
Shock to my heart
Sugar on, sugar on
Sugar, sugar on the rim
On the rim"
Watch Me While I Bloom,Petals for Armor,"[Verse 1]
How lucky I feel
To be in my body again

How lovely I feel
Not to have to pretend
Shocking to feel
A positive charge
Innocuous thrill
Big invisible spark (Hmm)

[Chorus]
You wanna look inside of me?
And just watch me bloom
You only got one side of me
Here's something new, ah
I'm alive in spite of me
And I'm on the move
So come and look inside of me
Watch me while I bloom, ah
Wanna look inside of me?
And just watch me bloom
You only got one side of me
Here's something new, ah
I'm alive in spite of me
And I'm on the move
So come and look inside of me
Watch me while I bloom, ah

[Verse 2]
If you feel like you're never gonna reach the sky
'Til you pull up your roots, leave your dirt behind

Baby, you got a lot of shit to learn

[Chorus]
You wanna look inside of me?
And just watch me bloom
You only got one side of me
Here's something new, ah
I'm alive in spite of me
And I'm on the move
So come and look inside of me
Watch me while I bloom, ah
Wanna look inside of me?
And just watch me bloom
You only got one side of me
Here's something new, ah
I'm alive in spite of me
And I'm on the move
So come and look inside of me
Watch me while I bloom, ah

[Bridge]
If you feel like you're never gonna reach the sky
'Til you pull up your roots, leave your dirt behind

Ooh, got a lot to learn
Got a lot, got a lot, got a lot
You got a lot to learn
Got a lot, got a lot, got a lot

[Chorus]
You wanna look inside of me?
And just watch me bloom
You only got one side of me
Here's something new, ah
I'm alive in spite of me
And I'm on the move
So come and look inside of me
Watch me while I bloom, ooh, ooh
You wanna look inside of me?
And just watch me bloom
You only got one side of me
Here's something new, ah
I'm alive in spite of me
And I'm on the move
So come and look inside of me
Watch me while I bloom, yeah

[Outro]
You wanna look inside of me?
Watch me while I bloom, yeah
You only got one side of me
Watch me while I bloom, yeah
I'm alive in spite of me
Watch me while I bloom, yeah
So come and look inside of me
Mmm-mmm-mmm-mmm-mmm"
Crystal Clear,Petals for Armor,"[Verse 1: Hayley Williams]
Mmm, I don't wanna shut you out
I don't wanna rush around or slow down
This time, I wanna stay right here
I wanna make it crystal clear
That I won't give in to the fear

[Chorus: Hayley Williams]
Crystal clear
I won't give in to the fear
Crystal clear
I won't give in to the fear
Crystal clear
I won't give in to the fear
Crystal clear

[Verse 2: Hayley Williams]
I remember standing on the edge
Closing my eyes
Counting to three, I
Jump in with the rush in my head
Only to find the water was concrete
And now you're pumpin' air to my lungs
This don't feel anything like sinking
In fact, no matter how deep I go
Into you, it looks like the water is crystal clear

[Chorus: Hayley Williams]
Crystal clear
I won't give in to the fear
Crystal clear
I won't give in to the fear
Crystal clear
I won't give in to the fear
Crystal clear (Clear)

[Bridge: Hayley Williams]
Here we go
Gonna risk it again
Let's hope it's the last time
We don't know
How this could end
Let's hope it won't have to (Hmm)
Won't have to (Hmm)

[Chorus: Hayley Williams]
Crystal clear
I won't give in to the fear
Crystal clear
I won't give in to the fear
Crystal clear
I won't give in to the fear
Crystal clear

[Outro: Hayley Williams & Rusty Williams]
Friends or lovers
(Clear) Won't give in to the fear
Friends or lovers, which will it be?
It's a feeling (Friends or lovers)
(Clear) I'm still right here
Friends or lovers, which will it be?"
First Thing to Go,FLOWERS for VASES / descansos,"[Verse 1]
First thing to go was the sound of his voice, ah

It echoes still, I'm sure, but I can't hear it
Was it gentle or cold? Or maybe just noise, I
Heard what I wanted until I couldn't


[Chorus]
And I'm scared to lose
Ah, what's left of you


[Verse 2]
Time moves slow, I just talk to myself, I
Finish my own sentences the way you used to (Mmm)

Why do memories glow the way real moments don't? Ah

My altar is full of all love's delusions


[Chorus]
And I, mmm
And I, mmm
And I'm scared to lose
And I (I)
What's left of you (I)
I should forget
But I love what's left


[Outro]
The first thing to go was the sound of his voice"
My Limb,FLOWERS for VASES / descansos,"[Verse 1]
If you gotta amputate, don't give me the tourniquet
You wish that I would run away, sever what isn't working
But I'll let my body bleed out
, lean into my left side

If your part of me is gone now, do I wanna survive?

[Chorus]
My limb
, my limb, my limb, my limb
My limb, my limb, my limb, my limb (Don't let go)

My limb, my limb, my limb, my limb (Let go)

My limb, my limb, my limb, my limb

[Verse 2]
Funny, of the two of us, you always were the gentle one
Shy little rabbit, teething on a shotgun

Guess we were collateral damage, kissing in the crossfire
Limpin' over dead leaves, I wish that they would cover me


[Chorus]
My limb, my limb, my limb, my limb (Don't let go)

My limb, my limb, my limb, my limb (Let go)

My limb, my limb, my limb, my limb (Don't let go)

My limb, my limb, my limb, my limb (Don't let go)


[Bridge]
(Ooh-ooh, ooh-ooh, ooh-ooh, ooh-oh)
(Ooh-ooh, ooh-ooh)
(Ooh-ooh, ooh-ooh, ooh-ooh, ooh-oh)
(Ooh-ooh, ooh-ooh)
Don't, don't let go my limb
Don't, don't let go my limb (Don't let go)

[Chorus]
My limb, my limb, my limb, my limb (Don't, don't let go my limb)

My limb, my limb, my limb, my limb (Don't, don't let go my limb)

My limb, my limb, my limb, my limb (Don't, don't let go my limb)

My limb, my limb, my limb, my limb, my limb (Don't, don't let go my limb)
(Don't let go my)
(Don't let go)
(Don't let go my)"
Asystole,FLOWERS for VASES / descansos,"[Verse 1]
I don't live for you, I live for me
If only that were true
If only I could prove that, on my own, I'm worthy

Funny how it feels like
We're talking to each other on the other line

But it's quiet here
Nothin' playing but the song of asystole


[Chorus]
Asystole, asystole
Asystole, asystole


[Verse 2]
And I can't get my head
To say anything my heart could ever understand
I want to forget
But the feelin' isn't somethin' I can let myself let go of
The trouble is the way you stick
To any part of me that remains intact

But if I pull the plug
It isn't only me that I'm holding back

[Chorus]
Asystole, asystole
Asystole, asystole

[Bridge]
Revive your love in me

Revive another side of me

My eyes, to see the poisoned devotion in me
Revive, revive, revive

[Chorus]
Asystole, asystole


[Outro]
(Oh, ah)
(Oh, ah)
(Oh)
(Ooh)"
Trigger,FLOWERS for VASES / descansos,"[Verse 1]
All I ever had to say about love is a sad song
I get off on tellin' everybody what went wrong
It makes me feel like the pain had a purpose
Keeps me believin' that maybe it's worth it

Truth is, all I really want is somebody who wants me
Somebody I can count on who won't disappoint me
At first, it seems easy, I vow not to give up
Let 'em debase me while keepin' my chin up

[Chorus]
'Cause I got the trigger, but you hold the gun
How come you never put the safety on?
I got the trigger, but you hold the gun
How come you never put the safety on? Mmm


[Verse 2]
So, what do people sing about once they finally found it?
Take it for granted, think of how they were better without it?
I'd like to imagine I'd never be like that
But if I'm honest, I know I already have


[Chorus]
'Cause I got the trigger, but you hold the gun
How come you never put the safety on?
I got the trigger, but you hold the gun
How come you never put the safety on? Mmm

[Bridge]
Mmm

[Chorus]
I got the trigger, but you own the gun

How come you never put the safety on?
Yeah, I got the trigger, but you hold the gun
How come you never put the safety on? Mmm"
Over Those Hills,FLOWERS for VASES / descansos,"[Verse 1]
Over those hills, I bet you're somewhere dreaming
I take my pills every night and in the morning

When you wake up, ever wish I was beside you?
We could look out together in those hills forever

[Verse 2]
Over those hills, I bet you're somewhere dreaming
I take my pills every night and in the morning

When you wake up (Wake up, wish I was), ever wish I was beside you? (Beside, beside you)

We could look out together in those hills forever, hmm

[Verse 3]
So this is the feeling
You can't imagine that it's real
'Til you feel it, oh
Almost went numb
Thought I'd had enough
But the hurt is half the fun


[Break]
Da, da-ra-ra, da-ra-ra, da-ra-ra-ra, da, da-ra-ra, da-ra, da-ra-ra
Da, da-ra-ra, da-ra-ra, da-ra-ra-ra, da

[Outro]
We could look out together on those hills forever"
Good Grief,FLOWERS for VASES / descansos,"[Verse 1]
There's no such thing as good grief

Haven't eaten in three weeks
Skin and bones when you're not near me
I'm all skeleton and melody


[Verse 2]
There's no such thing as good grief
Sleep with you in a sex dream
And I'm pretty sure you don't miss the way
I put all my demons on display to your pretty music


[Chorus]
One more time, play me something, I won't sing
I'll be quiet, play me something
One more time, I'm listening


[Verse 3]
There's no such thing as good grief
Took two months to pack up your things

But I left a box at your parents' house

Don't know whether to feel sad or proud


[Chorus]
One more time, play me something, I won't sing
I'll be quiet, play me something
One more time, I'm listening"
Wait On,FLOWERS for VASES / descansos,"[Verse 1]
I don't wanna wait on you
But it's just what I keep doing
As if I got nothing to do
As if my life won't keep on going without you


[Chorus]
The sky will wake up every morning
And sometimes feel the need to pour out
All the feelings it's been holding
But either way, it never comes down
It knows its place and knows a way around the clouds
And their design


[Verse 2]
For every fairytale untrue
And all the hearts yet to be broken

For every bird who never flew
Well, it's a wonder we keep going without you

[Chorus]
The sky still wakes up every morning
And sometimes feels the need to pour out
Everything it's tired of holding
But either way, it never comes down
It's gonna stay and find a way around the clouds

[Outro]
There was a bird who never flew
But she still kept all of her feathers
So she could pluck 'em out for you
And you could wear them in your hair and
She'd be with you"
KYRH,FLOWERS for VASES / descansos,"""KYRH"" stands for ""Keep You Right Here"". The 8th out of 14 songs on FLOWERS for VASES / decscansos, KYRH serves as somewhat of an intermission between the first half of the album and the second.
[Verse 1]
Keep you right here
Where the line is
At my fingers
On the surface

Keep you right here
Where the line is
Keep you right here

[Instrumental Break]

[Verse 2]
Keep you right here (Keep you right here)
Where the line is
At my fingers (Ah)
On the surface
Keep you right here
Where the line is
Keep you right here, ooh

[Outro]
Ooh
Oh-oh, mmm"
