Song,Album,Lyric,Previous Lyric,Next Lyric,Multiplicity
Brighter,All We Know Is Falling,"No, not this time","Please, not this time","Well, this is not your fault",1
Brighter,All We Know Is Falling,"Well, this is not your fault","No, not this time","But if I'm without you, then I will feel so small",1
Brighter,All We Know Is Falling,"But if I'm without you, then I will feel so small","Well, this is not your fault",And if you have to go,1
Brighter,All We Know Is Falling,And if you have to go,"But if I'm without you, then I will feel so small","Well, always know that you shine brighter than anyone does",1
Brighter,All We Know Is Falling,"Well, always know that you shine brighter than anyone does",And if you have to go,Now I think we're taking this too far,1
Brighter,All We Know Is Falling,Now I think we're taking this too far,"Well, always know that you shine brighter than anyone does",Don't you know that,1
Brighter,All We Know Is Falling,"No, not this time","Please, not this time",If you run away now,1
Brighter,All We Know Is Falling,If you run away now,"No, not this time",Will you come back around?,1
Brighter,All We Know Is Falling,Will you come back around?,If you run away now,And if you ran away,1
Brighter,All We Know Is Falling,And if you ran away,Will you come back around?,"I'd still wave goodbye, watching you shine bright",1
Brighter,All We Know Is Falling,"I'd still wave goodbye, watching you shine bright",And if you ran away,Now I think we're taking this too far,1
Brighter,All We Know Is Falling,Now I think we're taking this too far,"I'd still wave goodbye, watching you shine bright",Don't you know that,1
Brighter,All We Know Is Falling,"No, not this time","Please, not this time",And I'll wave goodbye (You shine bright),1
Brighter,All We Know Is Falling,And I'll wave goodbye (You shine bright),"No, not this time",Watching you shine bright (You shine bright),1
Brighter,All We Know Is Falling,Watching you shine bright (You shine bright),And I'll wave goodbye (You shine bright),And I'll wave goodbye (You shine bright),1
Brighter,All We Know Is Falling,And I'll wave goodbye (You shine bright),Watching you shine bright (You shine bright),Tonight,1
Brighter,All We Know Is Falling,Tonight,And I'll wave goodbye (You shine bright),,1
Here We Go Again,All We Know Is Falling,And here we go again with all the things we said,,And not a minute spent to think that we'd regret,1
Here We Go Again,All We Know Is Falling,And not a minute spent to think that we'd regret,And here we go again with all the things we said,"So we just take it back, these words and hold our breath",1
Here We Go Again,All We Know Is Falling,"So we just take it back, these words and hold our breath",And not a minute spent to think that we'd regret,Forget the things we swore we meant,1
Here We Go Again,All We Know Is Falling,Forget the things we swore we meant,"So we just take it back, these words and hold our breath",I'll write you just to let you know,1
Here We Go Again,All We Know Is Falling,I'll write you just to let you know,Forget the things we swore we meant,That I'm alright,2
Here We Go Again,All We Know Is Falling,That I'm alright,I'll write you just to let you know,Can't say I'm sad to see you go,2
Here We Go Again,All We Know Is Falling,Can't say I'm sad to see you go,That I'm alright,"'Cause I'm not (No, I'm not)",3
Here We Go Again,All We Know Is Falling,"'Cause I'm not (No, I'm not)",Can't say I'm sad to see you go,"Well, I'm not",1
Here We Go Again,All We Know Is Falling,"Well, I'm not","'Cause I'm not (No, I'm not)",And here we go again with all the things we did,1
Here We Go Again,All We Know Is Falling,And here we go again with all the things we did,"Well, I'm not",And now I'm wondering just who would I have been,1
Here We Go Again,All We Know Is Falling,And now I'm wondering just who would I have been,And here we go again with all the things we did,To be the one attached at all times to your hip,1
Here We Go Again,All We Know Is Falling,To be the one attached at all times to your hip,And now I'm wondering just who would I have been,Forget the things we swore we meant,1
Here We Go Again,All We Know Is Falling,Forget the things we swore we meant,To be the one attached at all times to your hip,I'll write you just to let you know,1
Here We Go Again,All We Know Is Falling,"'Cause I'm not (No, I'm not)",Can't say I'm sad to see you go,"Well, I'm not (No, I'm not)",2
Here We Go Again,All We Know Is Falling,"Well, I'm not (No, I'm not)","'Cause I'm not (No, I'm not)","Oh (No, I'm not)",1
Here We Go Again,All We Know Is Falling,"Oh (No, I'm not)","Well, I'm not (No, I'm not)",I'll write you to let you know,1
Here We Go Again,All We Know Is Falling,I'll write you to let you know,"Oh (No, I'm not)",That I'm alright,1
Here We Go Again,All We Know Is Falling,That I'm alright,I'll write you to let you know,Can't say I'm sad to see you go,1
Here We Go Again,All We Know Is Falling,"Well, I'm not (No, I'm not)","'Cause I'm not (No, I'm not)",I'm not,1
Here We Go Again,All We Know Is Falling,I'm not,"Well, I'm not (No, I'm not)",I'm not,1
Here We Go Again,All We Know Is Falling,I'm not,I'm not,(And here we go again with all the things we said),1
Here We Go Again,All We Know Is Falling,(And here we go again with all the things we said),I'm not,(And not a minute spent to think that we'd regret),1
Here We Go Again,All We Know Is Falling,(And not a minute spent to think that we'd regret),(And here we go again with all the things we said),"(So we just take it back, so we just take it back)",1
Here We Go Again,All We Know Is Falling,"(So we just take it back, so we just take it back)",(And not a minute spent to think that we'd regret),"No (So we just take it back, so we just take it back)",1
Here We Go Again,All We Know Is Falling,"No (So we just take it back, so we just take it back)","(So we just take it back, so we just take it back)","I'm not (So we just take it back, so we just take it back)",1
Here We Go Again,All We Know Is Falling,"I'm not (So we just take it back, so we just take it back)","No (So we just take it back, so we just take it back)","(So we just take it back, so we just take it back)",1
Here We Go Again,All We Know Is Falling,"(So we just take it back, so we just take it back)","I'm not (So we just take it back, so we just take it back)","I'm not (So we just take it back, so we just take it back)",1
Here We Go Again,All We Know Is Falling,"I'm not (So we just take it back, so we just take it back)","(So we just take it back, so we just take it back)",(So we just take it back),1
Here We Go Again,All We Know Is Falling,(So we just take it back),"I'm not (So we just take it back, so we just take it back)",,1
Never Let This Go,All We Know Is Falling,"Maybe if my heart stops beating, it won't hurt this much",,And never will I have to answer again to anyone,1
Never Let This Go,All We Know Is Falling,And never will I have to answer again to anyone,"Maybe if my heart stops beating, it won't hurt this much",Please don't get me wrong,1
Never Let This Go,All We Know Is Falling,Please don't get me wrong,And never will I have to answer again to anyone,Because,1
Never Let This Go,All We Know Is Falling,Because,Please don't get me wrong,I'll never let this go,2
Never Let This Go,All We Know Is Falling,I'll never let this go,Because,But I can't find the words to tell you,2
Never Let This Go,All We Know Is Falling,But I can't find the words to tell you,I'll never let this go,I don't wanna be alone (Don't wanna be alone),2
Never Let This Go,All We Know Is Falling,I don't wanna be alone (Don't wanna be alone),But I can't find the words to tell you,"But now I feel like I don't know you, oh",1
Never Let This Go,All We Know Is Falling,"But now I feel like I don't know you, oh",I don't wanna be alone (Don't wanna be alone),"One day, you'll get sick of saying that everything's alright",1
Never Let This Go,All We Know Is Falling,"One day, you'll get sick of saying that everything's alright","But now I feel like I don't know you, oh","And by then, I'm sure I'll be pretending just like I am tonight",1
Never Let This Go,All We Know Is Falling,"And by then, I'm sure I'll be pretending just like I am tonight","One day, you'll get sick of saying that everything's alright",Please don't get me wrong,1
Never Let This Go,All We Know Is Falling,Please don't get me wrong,"And by then, I'm sure I'll be pretending just like I am tonight",Because,1
Never Let This Go,All We Know Is Falling,I don't wanna be alone (Don't wanna be alone),But I can't find the words to tell you,But now I feel like I don't know you,2
Never Let This Go,All We Know Is Falling,But now I feel like I don't know you,I don't wanna be alone (Don't wanna be alone),Let this go,1
Never Let This Go,All We Know Is Falling,Let this go,But now I feel like I don't know you,Let this go,1
Never Let This Go,All We Know Is Falling,Let this go,Let this go,But I'll never let this go,1
Never Let This Go,All We Know Is Falling,But I'll never let this go,Let this go,But I can't find the words to tell you,1
Never Let This Go,All We Know Is Falling,But I can't find the words to tell you,But I'll never let this go,I don't wanna be alone (Don't wanna be alone),1
Never Let This Go,All We Know Is Falling,But now I feel like I don't know you,I don't wanna be alone (Don't wanna be alone),And I'll never let this go (Never let this go),1
Never Let This Go,All We Know Is Falling,And I'll never let this go (Never let this go),But now I feel like I don't know you,But I can't find the words to tell you,1
Never Let This Go,All We Know Is Falling,But I can't find the words to tell you,And I'll never let this go (Never let this go),That now I feel like I don't know you,1
Never Let This Go,All We Know Is Falling,That now I feel like I don't know you,But I can't find the words to tell you,,1
Whoa,All We Know Is Falling,I've hoped for change and it gets better every day,,"I've hoped for change, but still, I feel the same",1
Whoa,All We Know Is Falling,"I've hoped for change, but still, I feel the same",I've hoped for change and it gets better every day,There's something wrong 'cause everybody knows,1
Whoa,All We Know Is Falling,There's something wrong 'cause everybody knows,"I've hoped for change, but still, I feel the same",That we can do this on our own,1
Whoa,All We Know Is Falling,That we can do this on our own,There's something wrong 'cause everybody knows,And we've got everybody singin',2
Whoa,All We Know Is Falling,And we've got everybody singin',That we can do this on our own,"Woah, woah, woah, woah",2
Whoa,All We Know Is Falling,"Woah, woah, woah, woah",And we've got everybody singin',We've got everybody singin',1
Whoa,All We Know Is Falling,We've got everybody singin',"Woah, woah, woah, woah","Woah, woah, woah, woah",1
Whoa,All We Know Is Falling,"Woah, woah, woah, woah",We've got everybody singin',We're doing fine and it gets better every time,1
Whoa,All We Know Is Falling,We're doing fine and it gets better every time,"Woah, woah, woah, woah","We're doing fine, but I'll let you decide",1
Whoa,All We Know Is Falling,"We're doing fine, but I'll let you decide",We're doing fine and it gets better every time,There's something wrong 'cause everybody knows,1
Whoa,All We Know Is Falling,There's something wrong 'cause everybody knows,"We're doing fine, but I'll let you decide",That we can do this on our own,1
Whoa,All We Know Is Falling,"Woah, woah, woah, woah",And we've got everybody singin',And we've got everybody singin',2
Whoa,All We Know Is Falling,And we've got everybody singin',"Woah, woah, woah, woah","Woah, woah, woah, woah",2
Whoa,All We Know Is Falling,"Woah, woah, woah, woah",And we've got everybody singin',And I'll confess that I can be a little selfish,2
Whoa,All We Know Is Falling,And I'll confess that I can be a little selfish,"Woah, woah, woah, woah","Yeah, I'll admit I don't want you to help me through this",1
Whoa,All We Know Is Falling,"Yeah, I'll admit I don't want you to help me through this",And I'll confess that I can be a little selfish,I don't want to start over again,1
Whoa,All We Know Is Falling,I don't want to start over again,"Yeah, I'll admit I don't want you to help me through this",And we've got everybody singin',1
Whoa,All We Know Is Falling,And we've got everybody singin',I don't want to start over again,And we've got everybody singin',1
Whoa,All We Know Is Falling,And we've got everybody singin',And we've got everybody singin',"Woah, woah, woah, woah",1
Whoa,All We Know Is Falling,And I'll confess that I can be a little selfish,"Woah, woah, woah, woah","I can, I can",1
Whoa,All We Know Is Falling,"I can, I can",And I'll confess that I can be a little selfish,"Yeah, I'll admit I don't want you to get me through this",1
Whoa,All We Know Is Falling,"Yeah, I'll admit I don't want you to get me through this","I can, I can",I don't want to start over again,1
Whoa,All We Know Is Falling,I don't want to start over again,"Yeah, I'll admit I don't want you to get me through this",,1
Conspiracy,All We Know Is Falling,Please speak softly for they will hear us,,And they'll find out why we don't trust them,1
Conspiracy,All We Know Is Falling,And they'll find out why we don't trust them,Please speak softly for they will hear us,"Speak up, dear, 'cause I cannot hear you",1
Conspiracy,All We Know Is Falling,"Speak up, dear, 'cause I cannot hear you",And they'll find out why we don't trust them,I need to know why we don't trust them,1
Conspiracy,All We Know Is Falling,I need to know why we don't trust them,"Speak up, dear, 'cause I cannot hear you",Explain to me this conspiracy against me,1
Conspiracy,All We Know Is Falling,Explain to me this conspiracy against me,I need to know why we don't trust them,"Yeah, yeah",1
Conspiracy,All We Know Is Falling,"Yeah, yeah",Explain to me this conspiracy against me,And tell me how I've lost my power,3
Conspiracy,All We Know Is Falling,And tell me how I've lost my power,"Yeah, yeah","Oh, yeah",2
Conspiracy,All We Know Is Falling,"Oh, yeah",And tell me how I've lost my power,Where can I turn? 'Cause I need something more,1
Conspiracy,All We Know Is Falling,Where can I turn? 'Cause I need something more,"Oh, yeah","Surrounded by uncertainty, I'm so unsure",1
Conspiracy,All We Know Is Falling,"Surrounded by uncertainty, I'm so unsure",Where can I turn? 'Cause I need something more,Tell me why I feel so alone,1
Conspiracy,All We Know Is Falling,Tell me why I feel so alone,"Surrounded by uncertainty, I'm so unsure",'Cause I need to know to whom do I owe,1
Conspiracy,All We Know Is Falling,'Cause I need to know to whom do I owe,Tell me why I feel so alone,Explain to me this conspiracy against me,1
Conspiracy,All We Know Is Falling,Explain to me this conspiracy against me,'Cause I need to know to whom do I owe,"Yeah, yeah",1
Conspiracy,All We Know Is Falling,"Oh, yeah",And tell me how I've lost my power,I thought that we'd make it,1
Conspiracy,All We Know Is Falling,I thought that we'd make it,"Oh, yeah",Because you said that we'd make it through,1
Conspiracy,All We Know Is Falling,Because you said that we'd make it through,I thought that we'd make it,"And when all security fails, will you be there",1
Conspiracy,All We Know Is Falling,"And when all security fails, will you be there",Because you said that we'd make it through,To help me through?,1
Conspiracy,All We Know Is Falling,To help me through?,"And when all security fails, will you be there",Explain to me this conspiracy against me,1
Conspiracy,All We Know Is Falling,Explain to me this conspiracy against me,To help me through?,"Yeah, yeah",1
Conspiracy,All We Know Is Falling,And tell me how I've lost my power,"Yeah, yeah",Oh,1
Conspiracy,All We Know Is Falling,Oh,And tell me how I've lost my power,I've lost my power,1
Conspiracy,All We Know Is Falling,I've lost my power,Oh,,1
Franklin,All We Know Is Falling,And when we get home,,I know we won't be home at all,1
Franklin,All We Know Is Falling,I know we won't be home at all,And when we get home,This place we live,1
Franklin,All We Know Is Falling,This place we live,I know we won't be home at all,It is not where we belong,1
Franklin,All We Know Is Falling,It is not where we belong,This place we live,And I miss who we were,1
Franklin,All We Know Is Falling,And I miss who we were,It is not where we belong,In the town that we could call our own,1
Franklin,All We Know Is Falling,In the town that we could call our own,And I miss who we were,Going back to get away,1
Franklin,All We Know Is Falling,Going back to get away,In the town that we could call our own,After everything has changed,1
Franklin,All We Know Is Falling,After everything has changed,Going back to get away,Could you remind me of a time,2
Franklin,All We Know Is Falling,Could you remind me of a time,After everything has changed,When we were so alive? (Everything has changed),2
Franklin,All We Know Is Falling,When we were so alive? (Everything has changed),Could you remind me of a time,Do you remember that?,2
Franklin,All We Know Is Falling,Do you remember that?,When we were so alive? (Everything has changed),Do you remember that? (Everything has changed),2
Franklin,All We Know Is Falling,Do you remember that? (Everything has changed),Do you remember that?,Could you help me push aside,2
Franklin,All We Know Is Falling,Could you help me push aside,Do you remember that? (Everything has changed),All that I have left behind? (Everything is changed),2
Franklin,All We Know Is Falling,All that I have left behind? (Everything is changed),Could you help me push aside,Do you remember that?,2
Franklin,All We Know Is Falling,Do you remember that?,All that I have left behind? (Everything is changed),Do you remember that?,2
Franklin,All We Know Is Falling,Do you remember that?,Do you remember that?,So we stand here now,1
Franklin,All We Know Is Falling,So we stand here now,Do you remember that?,And no one knows us at all,1
Franklin,All We Know Is Falling,And no one knows us at all,So we stand here now,I won't get used to this,1
Franklin,All We Know Is Falling,I won't get used to this,And no one knows us at all,I won't get used to being gone,1
Franklin,All We Know Is Falling,I won't get used to being gone,I won't get used to this,And going back won't feel the same,1
Franklin,All We Know Is Falling,And going back won't feel the same,I won't get used to being gone,If we aren't staying,1
Franklin,All We Know Is Falling,If we aren't staying,And going back won't feel the same,Going back to get away,1
Franklin,All We Know Is Falling,Going back to get away,If we aren't staying,After everything has changed,1
Franklin,All We Know Is Falling,Do you remember that?,Do you remember that?,(Taking up our time),1
Franklin,All We Know Is Falling,(Taking up our time),Do you remember that?,(Taking up our time),1
Franklin,All We Know Is Falling,(Taking up our time),(Taking up our time),(Taking up our time),1
Franklin,All We Know Is Falling,(Taking up our time),(Taking up our time),"It's taking up our time, we can't",1
Franklin,All We Know Is Falling,"It's taking up our time, we can't",(Taking up our time),"Go back, we can't go back at all",1
Franklin,All We Know Is Falling,"Go back, we can't go back at all","It's taking up our time, we can't","It's taking up our time, we can't",2
Franklin,All We Know Is Falling,"It's taking up our time, we can't","Go back, we can't go back at all","Go back, we can't go back at all",2
Franklin,All We Know Is Falling,"Go back, we can't go back at all","It's taking up our time, we can't",It's taking up our time,1
Franklin,All We Know Is Falling,It's taking up our time,"Go back, we can't go back at all",Taking up our time,1
Franklin,All We Know Is Falling,Taking up our time,It's taking up our time,'Cause you remind me of a time,1
Franklin,All We Know Is Falling,'Cause you remind me of a time,Taking up our time,When we were so alive,1
Franklin,All We Know Is Falling,When we were so alive,'Cause you remind me of a time,Do you remember that?,1
Franklin,All We Know Is Falling,Do you remember that?,When we were so alive,Do you remember that?,1
Franklin,All We Know Is Falling,Do you remember that?,Do you remember that?,,1
My Heart,All We Know Is Falling,I am finding out,,"Then, maybe, I was wrong",1
My Heart,All We Know Is Falling,"Then, maybe, I was wrong",I am finding out,That I've fallen down,1
My Heart,All We Know Is Falling,That I've fallen down,"Then, maybe, I was wrong",And I can't do this alone,1
My Heart,All We Know Is Falling,And I can't do this alone,That I've fallen down,Stay with me,1
My Heart,All We Know Is Falling,Stay with me,And I can't do this alone,"This is what I need, please",1
My Heart,All We Know Is Falling,"This is what I need, please",Stay with me,Sing us a song,1
My Heart,All We Know Is Falling,Sing us a song,"This is what I need, please",And we'll sing it back to you,1
My Heart,All We Know Is Falling,And we'll sing it back to you,Sing us a song,We could sing our own,1
My Heart,All We Know Is Falling,We could sing our own,And we'll sing it back to you,But what would it be without you? Oh,1
My Heart,All We Know Is Falling,But what would it be without you? Oh,We could sing our own,I am nothing now,1
My Heart,All We Know Is Falling,I am nothing now,But what would it be without you? Oh,And it's been so long,1
My Heart,All We Know Is Falling,And it's been so long,I am nothing now,Since I've heard a sound,1
My Heart,All We Know Is Falling,Since I've heard a sound,And it's been so long,The sound of my only hope,1
My Heart,All We Know Is Falling,The sound of my only hope,Since I've heard a sound,This time,1
My Heart,All We Know Is Falling,This time,The sound of my only hope,I will be listening,1
My Heart,All We Know Is Falling,I will be listening,This time,Sing us a song,1
My Heart,All We Know Is Falling,Sing us a song,I will be listening,And we'll sing it back to you (Sing it back to you),1
My Heart,All We Know Is Falling,And we'll sing it back to you (Sing it back to you),Sing us a song,We could sing our own,1
My Heart,All We Know Is Falling,We could sing our own,And we'll sing it back to you (Sing it back to you),But what would it be without you? Oh,1
My Heart,All We Know Is Falling,But what would it be without you? Oh,We could sing our own,"(This heart, this heart, this heart, this heart)",1
My Heart,All We Know Is Falling,"(This heart, this heart, this heart, this heart)",But what would it be without you? Oh,"(This heart, this heart, this heart, this heart)",1
My Heart,All We Know Is Falling,"(This heart, this heart, this heart, this heart)","(This heart, this heart, this heart, this heart)","This heart, it beats, beats for only you",1
My Heart,All We Know Is Falling,"This heart, it beats, beats for only you","(This heart, this heart, this heart, this heart)","(This heart, this heart, this heart, this heart)",1
My Heart,All We Know Is Falling,"(This heart, this heart, this heart, this heart)","This heart, it beats, beats for only you","This heart, it beats, beats for only you",1
My Heart,All We Know Is Falling,"This heart, it beats, beats for only you","(This heart, this heart, this heart, this heart)",Oh (Yeah),1
My Heart,All We Know Is Falling,Oh (Yeah),"This heart, it beats, beats for only you","This heart, it beats, beats for only you",1
